"","NAME","state","county","tract","B02001_001E","B02001_002E"
"1","Census Tract 101.01, Fairfield County, Connecticut","09","001","010101",4392,4050
"2","Census Tract 101.02, Fairfield County, Connecticut","09","001","010102",4134,3800
"3","Census Tract 102.01, Fairfield County, Connecticut","09","001","010201",3387,2928
"4","Census Tract 102.02, Fairfield County, Connecticut","09","001","010202",5066,4447
"5","Census Tract 103, Fairfield County, Connecticut","09","001","010300",4209,3846
"6","Census Tract 104, Fairfield County, Connecticut","09","001","010400",5701,4968
"7","Census Tract 105, Fairfield County, Connecticut","09","001","010500",5399,4146
"8","Census Tract 106, Fairfield County, Connecticut","09","001","010600",1769,1525
"9","Census Tract 107, Fairfield County, Connecticut","09","001","010700",3870,3475
"10","Census Tract 108, Fairfield County, Connecticut","09","001","010800",3390,2946
"11","Census Tract 109, Fairfield County, Connecticut","09","001","010900",5263,4301
"12","Census Tract 110, Fairfield County, Connecticut","09","001","011000",5160,4642
"13","Census Tract 111, Fairfield County, Connecticut","09","001","011100",4779,4445
"14","Census Tract 112, Fairfield County, Connecticut","09","001","011200",1755,1656
"15","Census Tract 113, Fairfield County, Connecticut","09","001","011300",3867,2707
"16","Census Tract 201, Fairfield County, Connecticut","09","001","020100",4136,2089
"17","Census Tract 202, Fairfield County, Connecticut","09","001","020200",3826,3510
"18","Census Tract 203, Fairfield County, Connecticut","09","001","020300",7146,6328
"19","Census Tract 204, Fairfield County, Connecticut","09","001","020400",3795,3361
"20","Census Tract 205, Fairfield County, Connecticut","09","001","020500",4764,4352
"21","Census Tract 206, Fairfield County, Connecticut","09","001","020600",4862,3723
"22","Census Tract 207, Fairfield County, Connecticut","09","001","020700",4402,4100
"23","Census Tract 208, Fairfield County, Connecticut","09","001","020800",2841,2461
"24","Census Tract 209, Fairfield County, Connecticut","09","001","020900",4825,3528
"25","Census Tract 210, Fairfield County, Connecticut","09","001","021000",3190,2507
"26","Census Tract 211, Fairfield County, Connecticut","09","001","021100",5564,4042
"27","Census Tract 212, Fairfield County, Connecticut","09","001","021200",4552,3402
